Home,Away,1,x,2
Newcastle,West Ham,1.54,5,6
Empoli FC,Udinese,2.9,3,2.85
Venezia FC,Lecce,2.28,3.35,3.4
Orlando City SC,Atlanta United FC,1.58,4.6,5.6
CD Universidad Catolica del Ecuador,LDU Quito,2.32,3.3,2.9
CSD Independiente del Valle,CSD Macara,1.2,6.4,11
Club Olimpia,Nacional Asuncion,1.64,3.25,4.3
Municipal Liberia,CS Herediano,2.85,3.25,2.26
America de Cali,CD Once Caldas,1.65,3.05,4.6
CD Godoy Cruz,Velez Sarsfield,4.5,3.3,1.87
Los Angeles Galaxy,Minnesota United FC,1.77,4.3,4.3
Club Guarani Asuncion,Tacuary Asuncion,1.35,4,6.2
CD Tolima,CD Junior FC,1.7,3.1,4.2
Atletico Lanus,Defensa y Justicia,2.23,3.1,3.45
Club Tijuana de Caliente,Atlas FC,2.04,3.4,3.5
Tabora United FC,Singida Black Stars SC,3.1,2.6,1.84
Al Mokawloon Al Arab,Dayrout,1.4,2.95,5
El Qanah FC,La Viena FC,1.92,2.5,3
Baladiyyat AL Mehalla,Aswan SC,2.31,2.31,2.6
Asyut Petroleum,El Mansurah,1.6,2.9,3.55
FK Jezero Plav,FK Sutjeska Niksic,3.45,2.95,2.2
Hadiya Hossana FC,Ethiopian Coffee SC,2.26,2.9,3
Hyderabad FC,Odisha FC,3.95,3.85,1.57
El Terasanah,Abo Qair Semads,2.04,2.36,3
PFC Slavia Sofia,FC Krumovgrad,1.9,3.15,4
FC Botosani,CSM Politehnica Iasi,2.32,3,2.95
Atromitos Athinon,APO Levadiakos FC,1.7,3.45,4.8
FC Polissya Zhytomyr,FC Zorya Lugansk,1.7,3.55,4.6
Ethio Electric,Mechal SC,5.2,3.4,1.58
Trabzonspor,Adana Demirspor,1.41,5,6.6
Vendsyssel FF,Odense Boldklub,6.2,4.6,1.45
Puszcza Niepolomice,Widzew Lodz,3,3.35,2.17
FC Midtjylland,Silkeborg IF,1.66,4,4.7
FC Uta Arad,CS Universitatea Craiova,3.75,3.1,1.95
FUS Rabat,Maghreb AS de Fes,1.91,2.85,3.65
USL Dunkerque,AC Ajaccio,2.05,3.25,3.75
CA Central Cordoba SE,CA Rosario Central,2.42,2.95,3.25
CS 2 de Mayo,Sportivo Luqueno,1.98,3.05,3.15
Libertad Asuncion,Sol de America Villa Elisa,1.91,3.15,3.2
Sportivo Ameliano,Club General Caballero JLM,2.03,3.05,3.05
Argentinos Juniors,Barracas Central,1.54,3.7,7
