Home,Away,1,x,2
Lazio Rome,Bologna Fc,1.84,3.65,4.5
Ogc Nice,Strasbourg Alsace...,1.78,3.95,4.5
Athletic Bilbao,Real Sociedad,2.43,3,3.55
Deportivo Riestra...,Ca Banfield,2.07,2.95,4.2
Gimnasia Y Esgrim...,Atletico Tucuman,2.7,2.9,2.9
Elche,Oviedo,2.13,3,3.85
Pasto,Nacional Medellin...,2.6,3.2,2.7
Nueva Chicago,San Martin De San...,2.27,2.8,3.7
Cdm Leandro N. Al...,Ca Central Cordob...,2.49,2.95,2.75
Justo Jose De Urq...,Yupanqui,1.42,3.9,7.2
Ca Victoriano Are...,Club Mercedes,1.67,3.25,5.2
Deportivo Paragua...,Berazategui,3.6,3.15,1.97
Villa Mitre De Ba...,Ca Sarmiento De L...,2.14,3.05,3.55
Argentino De Rosa...,Club Lujan,2.24,2.95,3.15
Portmore Utd,Waterhouse Fc,2.37,2.8,3.1
Mount Pleasant Fc...,Montego Bay Utd.,1.95,3.2,3.65
Humble Lions Fc,Dunbeholden Fc,2.7,3.15,2.39
Tiburones De Sons...,Cd Olimpico Litor...,1.49,3.95,5.8
Orlando City Sc,Atlanta United Fc...,1.52,4.4,5.6
Ind. Del Valle,Csd Macara,1.2,6.2,12
Cd Universidad Ca...,Ldu Quito,2.37,3.3,2.85
Club Olimpia,Nacional Asuncion...,1.73,3.45,4.8
Deportivo Achuapa...,Municipal,2.9,3.2,2.31
Xelaju Mc,Deportivo Mixco,1.61,3.5,5.6
Malacateco,Marquense,1.36,4.1,9.4
Xinabajul,Comunicaciones,2.41,3.35,2.65
Zacapa,Antigua,3.45,3.55,1.93
Dep. Guastatoya,Imperial,2.07,3.2,3.45
Juticalpa Fc,Motagua,5,3.75,1.6
Cd Cacahuatique,Municipal Limeno,2.16,2.85,3.45
Cd Dragon,Ad Isidro Metapan...,3,3.05,2.27
Once Deportivo,Aguila San Miguel...,3.85,3,1.97
America Mg,Brusque,1.43,4.4,7
Goias,Novorizontino,3.2,3.05,2.31
Guarani,Ceara Sc,7.6,4.4,1.41
Mirassol,Chapecoense,1.22,5.4,16
Sc Recife Pe,Santos Sp,1.52,3.85,6.4
Club Bolivar,Ca Nacional Potos...,1.23,5.6,10
Liberia,Herediano,2.85,3.3,2.34
Ec Sao Jose Rs,Ypiranga Fc,2.18,2.85,3.4
Acatlan Fc,Los Cabos United,1.56,4.1,5
Real Apodaca Fc,Cf Correcaminos U...,1.5,4.3,5.2
America De Cali,Once Caldas,1.77,3.25,5
Cd Godoy Cruz,Velez Sarsfield,4.4,3.25,1.91
Club Atletico Los...,Deportivo Armenio...,2.9,2.55,2.95
Los Angeles Galax...,Minnesota United ...,1.78,3.95,4.1
Deportivo Tachira...,Carabobo Fc,1.67,3.25,5.2
Tivoli Gardens,Harbour View,2,3.3,3.4
Olimpia,Olancho Fc,1.5,3.85,6.2
Club Guarani Asun...,Tacuary Asuncion,1.42,4.3,7
Club Aurora,The Strongest,2.45,3.3,2.65
Tolima,Junior,1.81,3.35,4.6
Atletico Lanus,Defensa Y Justici...,2.22,3.1,3.5
Victoria,Real Espana,2.75,3.25,2.37
Club Tijuana De C...,Atlas Fc,2.1,3.35,3.5
Tabora United Fc,Singida Black Sta...,3.45,2.85,1.99
Sc Poltava,Fc Metalist 1925 ...,4.4,3.35,1.78
Shahrdari Nowshah...,Shahrdari Astara,1.5,3.7,6.6
Duzcespor,Anadolu Universit...,1.81,3.3,3.9
Al Karma,Al Zawraa,4.2,3.45,1.77
