Home,Away,1,x,2
Victoriano Arenas,Racing Mercedes,1.61,3.4,5.5
Central Ballester,Puerto Nuevo,3.1,3.1,2.25
Athletic Bilbao,Real Sociedad,2.3,2.87,3.5
Elche,Oviedo Moderno,2.37,3,3.3
Nueva Chicago,San Martin,2.3,2.7,3.6
Deportivo Pasto,Atletico Nacional,2.7,3,2.6
Deportivo Riestra,Banfield,2.1,3,4
Gimnasia LP,Atletico Tucuman,2.6,3,2.87
Claypole,Lugano,1.61,3.75,4.75
Deportivo Paraguayo,Berazategui,3.6,3.1,2.05
Leandro Niceforo Alem,Central Cordoba Rosario,2.6,3,2.7
JJ Urquiza,Yupanqui,1.44,4,7
Argentino Rosario,Club Lujan,2.3,3.1,3
Orlando City,Atlanta Utd,1.5,4.33,6
Juticalpa,Motagua Tegucigalpa,5,3.8,1.6
Olimpia,Nacional Asuncion,1.75,3.3,4.5
Guarani Futebol Club,Ceara,7,4.2,1.4
Goias,Novorizontino,3,3,2.37
America MG,Brusque SC,1.44,4.2,6.5
Sport Recife PE,Santos SP,1.5,3.8,6
MirassolSP,Chapecoense,1.22,5,13
Municipal Liberia,Herediano,2.87,3.25,2.3
America de Cali,Once Caldas,1.8,3.25,4.5
Godoy Cruz,Velez Sarsfield,4.2,3.25,1.9
Los Andes,Deportivo Armenio,2.87,2.5,2.87
Deportivo Tachira,Carabobo FC,1.66,3.3,5.25
LA Galaxy,Minnesota United,1.8,4,4
Olimpia,Olancho,1.5,3.75,6.5
Club Guarani Asuncion,Tacuary Asuncion,1.4,4.33,7
Tolima,Junior,1.8,3.3,4.33
Lanus,Defensay Justicia,2.25,3.1,3.3
Victoria,Real Espana,2.75,3.4,2.37
Tijuana,Atlas,2.1,3.3,3.5
Slavia Sofia,LevskiKrumovgrad,2,3.1,3.75
Botosani,CSMS Iasi,2.37,3.1,2.87
Atromitos Athens,Levadiakos,1.75,3.6,4.75
Trabzonspor,Adana,1.36,5.25,7
76 Igdir Belediyespor,Amedspor,2.1,3.3,3.4
AEK Larnaca,Karmiotissa,1.22,5.25,8.5
Empoli,Udinese,2.87,3,2.8
Vendsyssel FF,Odense BK,6,4.5,1.44
Melita FC,Naxxar Lions,2.25,3.3,3
Puszcza Niepolomice,Widzew Lodz,3,3.5,2.25
FC Midtjylland,Silkeborg,1.66,4,4.2
UTA Arad,Universitatea Craiova,3.6,3.25,2
Coventry U21,Nottingham Forest U21,6,4.5,1.4
Bristol City U21,Norwich City U21,2.87,4,2.05
Huddersfield U21,Wolves U21,5,4.2,1.53
Sheffield United U21,Sunderland U21,2.3,3.5,2.62
Watford U21,Everton U21,3.3,3.75,1.95
Dunkerque,Ajaccio,2.1,3.25,3.5
Venezia,Lecce,2.3,3.3,3.25
Newcastle,West Ham,1.5,4.75,6
Port Vale,Crewe,1.85,3.3,4
Central Cordoba Rosario,Rosario,2.4,2.87,3.25
2De Mayo,Luqueo,2.05,3.2,3.4
Sportivo Ameliano,General Caballero JLM,2.2,3.2,3.2
Libertad,Solde America,2.05,3.3,3.3
Gimnasia Mendoza,San Martinde Tucuman,2.62,2.8,2.87
Argentinos Juniors,Barracas Central,1.5,3.8,7
Belgrano,Independiente Rivadavia,2,3.1,4
Santa Ana,Guanacasteca,2.2,3.4,2.87
River Plate,Cerro,2.2,3.2,3.1
Chippa United FC,Super Sport United,3.1,3,2.37
Royal AM,Golden Arrows,2.25,3.1,3.2
Sekhukhune United,TS Galaxy,2.05,3,3.8
Sparta Prague,Atletico Madrid,5,4,1.66
Slovan Bratislava,Milan,12,7.5,1.2
Rampla,Liverpool Montevideo,2.8,3.25,2.37
Cambridge Utd,Bolton,4.2,3.75,1.72
Wigan,Northampton,1.7,3.5,4.5
Leyton Orient,Huddersfield,2.87,3.25,2.3
Bristol Rovers,Blackpool,3.25,3.5,2
Wycombe,Mansfield,1.61,4,4.5
Exeter,Birmingham,4.75,3.8,1.61
Wrexham,Lincoln,2,3.3,3.5
Norwich,Plymouth,1.53,4.75,5.5
Stoke,Preston,2.3,3.4,3.2
Sheffield Utd,Oxford Utd,1.44,4.75,7
Burnley,Coventry,2.2,3.4,3.4
Hull,Sheffield Wednesday,2.37,3.5,3
Watford,Bristol City,2.37,3.6,3
Burton,Charlton,3,3.3,2.2
Hibernian,Aberdeen,2.4,3.4,2.75
Tranmere,AFC Wimbledon,3.1,3.2,2.2
Walsall,Bromley,1.6,4,4.75
Barnsley,Reading,1.9,3.75,3.5
Young Boys,Atalanta,7,5.25,1.4
Sunderland,West Brom,2.37,3.3,3.2
Barcelona,Brest,1.14,9,17
Sporting CP,Arsenal,3,3.6,2.35
Man City,Feyenoord,1.2,7.5,13
Inter Milan,RB Leipzig,1.48,5,6.5
Bayern Munich,Paris SG,1.61,4.6,4.6
