Home,Away,1,x,2
Athletic Bilbao,Real Sociedad,2.39,2.9,3.4
Lazio,Bologna,1.8,3.55,4.4
Nice,Strasbourg,1.76,3.9,4.5
Atromitos FC,Levadiakos,1.68,3.35,4.7
Empoli,Udinese,2.85,2.95,2.85
Dunkerque,AC Ajaccio,1.98,3.25,3.75
Venezia,Lecce,2.35,3.3,3.2
Newcastle,West Ham,1.51,4.8,6
Portmore United,Waterhouse FC,2.33,2.75,3
Deportivo Pasto,Atletico Nacional,2.32,3.1,2.7
Deportivo Riestra,Banfield,1.95,2.8,4
Elche,Real Oviedo,2.01,3,4
Argentino De Rosario,Lujan,2.2,2.9,3.1
Gimnasia y Esgrima,Atletico Tucuman,2.55,2.8,2.7
Orlando City,Atlanta United,1.45,4.1,5.2
Univ Catolica,LDU Quito,2.29,3.15,2.75
CSD Zacapa,Antigua GFC,3.35,3.45,1.89
Olimpia Asuncion,Nacional Asuncion,1.68,3.3,4.5
Club Xelaju,Deportivo Mixco,1.58,3.35,5.2
CD Dragons,Isidro Metapan,2.95,3,2.24
Mirassol SP,Chapecoense,1.19,4.8,14
Goias,Novorizontino SP,3.05,2.9,2.22
Guarani SP,Ceara CE,6.8,4.1,1.37
Sport Recife,Santos,1.46,3.65,6.2
America Mineiro MG,Brusque SC,1.39,4,6.4
Municipal Liberia,CS Herediano,2.75,3.15,2.27
America De Cali,Once Caldas,1.67,3.1,5
Godoy Cruz,Velez Sarsfield,4.1,3.1,1.81
Los Angeles Galaxy,Minnesota Utd,1.69,3.75,3.85
Club Guarani,Tacuary,1.39,4,6.6
Lanus,Defensa Justicia,2.08,2.95,3.3
Tabora United,Singida BS,3.55,2.95,2.05
Kalamata FC,Kissamikos,1.53,3.3,6.2
